null

"Your query : (((TITLE-ABS-KEY(biofuel)) AND ((nanocat*))) AND ( LIMIT-TO ( DOCTYPE,""ar"" ) ) )"


Number of results : 1071

,
"National Natural Science Foundation of China","171"
"Fundamental Research Funds for the Central Universities","30"
"Ministry of Science and Technology of the People's Republic of China","27"
"Department of Science and Technology, Ministry of Science and Technology, India","26"
"National Key Research and Development Program of China","25"
"Iran Nanotechnology Initiative Council","24"
"European Commission","22"
"China Postdoctoral Science Foundation","21"
"Natural Science Foundation of Jiangsu Province","21"
"Ministry of Higher Education, Malaysia","20"
"Ministry of Education of the People's Republic of China","19"
"Conselho Nacional de Desenvolvimento Científico e Tecnológico","18"
"Ministry of Finance","18"
"National Research Foundation of Korea","17"
"U.S. Department of Energy","17"
"National Science Foundation","16"
"Sahand University of Technology","16"
"Taif University","15"
"Fundação de Amparo à Pesquisa do Estado de São Paulo","14"
"Science and Engineering Research Board","14"
"Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","13"
"Kementerian Pendidikan Malaysia","12"
"Natural Sciences and Engineering Research Council of Canada","12"
"Priority Academic Program Development of Jiangsu Higher Education Institutions","12"
"Universiti Malaya","12"
"Council of Scientific and Industrial Research, India","11"
"Engineering and Physical Sciences Research Council","11"
"King Saud University","11"
"Universiti Teknologi Malaysia","10"
"Chinese Academy of Sciences","9"
"European Regional Development Fund","9"
"Horizon 2020 Framework Programme","9"
"Ministry of Science, ICT and Future Planning","9"
"China Scholarship Council","8"
"Fok Ying Tong Education Foundation","8"
"Nanjing Forestry University","8"
"Education Department of Henan Province","7"
"Government of Canada","7"
"Ministry of Education","7"
"Ministry of Human Resource Development","7"
"MinistÃ©rio da CiÃªncia, Tecnologia e InovaÃ§Ã£o","7"
"Natural Science Foundation of Zhejiang Province","7"
"Office of Science","7"
"Russian Science Foundation","7"
"Thailand Research Fund","7"
"UK Research and Innovation","7"
"Deanship of Scientific Research, King Saud University","6"
"Department of Science and Technology, Government of Kerala","6"
"Iran National Science Foundation","6"
