id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	13c nmr	0.6212	-0.242	2	57	89	6	2019.5
2	1h nmr	0.4393	-0.2641	2	81	126	11	2019.8182
3	abstract	0.0009	-0.2312	2	110	230	15	2020.2
4	acbs	0.1901	-0.4071	4	5	36	6	2021
5	accordance	0.4618	-0.282	2	81	132	10	2020.1
6	acetal	-0.3276	-0.0017	5	18	63	7	2019.2857
7	acetalization	-0.2357	0.0472	5	27	82	7	2019.7143
8	acidic site	-0.5175	-0.1521	1	83	154	12	2020
9	active metal	-0.6001	-0.1708	1	67	103	7	2019.8571
10	active phase	0.2029	-0.4309	2	58	125	10	2019
11	additive	0.2321	0.058	6	274	970	59	2019.8644
12	adsorbent	0.0053	-0.0606	3	69	113	10	2020.1
13	advanced biofuel	-0.5615	-0.4519	4	61	115	8	2018
14	afm	-0.2679	0.5442	5	47	96	5	2019.8
15	aggregation	-0.7255	0.4658	5	103	295	15	2019.3333
16	alcohols	-0.2283	-0.4795	4	33	70	6	2020.3333
17	aldehyde	-0.4361	-0.4756	4	152	381	26	2019.2308
18	algae	0.371	-0.1429	3	214	880	44	2020.2955
19	algal biochar	0.1324	0.0512	3	10	50	5	2020
20	algal biomass	0.5718	0.3127	3	132	532	33	2020.3333
21	algal species	0.8985	0.5165	3	41	178	7	2019.2857
22	aliphatic hydrocarbon	-0.15	-0.3597	2	34	60	5	2018.8
23	alkane	-0.6581	-0.302	1	167	601	39	2018
24	alsip zeotype	-0.132	-0.0981	2	8	55	5	2021
25	alternative fuel	0.901	-0.1851	2	120	232	17	2019.0588
26	alternative source	0.7767	-0.1834	2	106	206	12	2019.1667
27	ambient condition	0.0672	0.2675	2	49	75	5	2019.8
28	american society	0.544	-0.0743	2	40	70	7	2019.4286
29	analytical technique	-0.3487	0.3777	5	49	83	5	2020.2
30	anisole	0.0966	-0.136	2	19	112	7	2021.7143
31	ann	0.3992	-0.3439	2	77	166	17	2020.5882
32	anode	-0.6559	1.3124	5	110	402	19	2017.4211
33	anova	0.6623	-0.1773	2	29	52	7	2019
34	antioxidant	0.5519	-0.2087	2	32	106	10	2019.8
35	applicability	-0.293	0.25	5	80	134	9	2019.4444
36	aqueous medium	-0.7566	-0.0615	1	78	146	9	2018.7778
37	aqueous phase	-0.2765	-0.4675	4	78	293	21	2019.619
38	aqueous phase recirculation	0.186	-0.7746	4	9	108	6	2020
39	aqueous solution	-0.5543	-0.0229	1	75	129	8	2018.75
40	architecture	-0.5886	0.85	5	79	271	12	2017
41	aromatic	-0.4438	-0.2712	1	109	207	15	2019.6667
42	aromatic compound	-0.4763	-0.596	4	53	117	6	2019
43	aromatic hydrocarbon	-0.4315	-0.3782	4	113	209	14	2019.3571
44	art	0.1034	0.1765	3	56	104	7	2018.7143
45	assessment	0.572	0.1305	3	218	542	31	2019.9677
46	astm	0.5455	-0.2048	2	119	209	22	2019.5455
47	astm d	0.489	-0.2258	2	36	63	8	2019.75
48	astm d6751	0.5301	-0.3067	2	60	96	10	2019.7
49	astm d6751 standard	0.6664	-0.2257	2	43	68	6	2019.3333
50	astm standard	0.631	-0.3681	2	73	122	10	2020.3
51	atm	0.2873	0.3006	3	38	87	5	2019.2
52	attempt	0.8576	0.1374	3	60	101	7	2017.1429
53	au nanoparticle	-0.765	1.1792	5	59	214	13	2015.3077
54	aunp	-0.6546	1.2834	5	31	103	6	2018.3333
55	b10	1.0884	-0.1781	2	62	117	6	2020
56	b20	1.4978	0.1871	6	106	574	24	2019.2083
57	bacterium	0.4629	0.357	3	80	196	11	2019.8182
58	bagasse	0.0047	-0.0294	3	47	148	10	2018.4
